순번,쉼터명칭,사용여부,도로명주소,지번주소,시설유형,시설면적,이용가능인원,이용구분,시설구분1,시설구분2,위도,경도,비고,X좌표,Y좌표
60,성동세무서맞은편스마트쉼터,N,서울특별시 성동구 광나루로 334-1  (성수동2가),서울특별시 성동구 성수동2가 280-49,,5.95,5,누구나,공공시설,스마트쉼터,37.5480288,127.0620266,,205481.215013,549836.527508
61,성수사거리스마트쉼터,N,서울특별시 성동구 아차산로 167  (성수동2가),서울특별시 성동구 성수동2가 277-155,,5.95,5,누구나,공공시설,스마트쉼터,37.5428398,127.062394,,205514.063893,549260.632727
62,화양사거리(성수초등학교)스마트쉼터,Y,서울특별시 성동구 광나루로8길 31  (성수동2가),서울특별시 성동구 성수동2가 281-24,,16.5,5,누구나,공공시설,스마트쉼터,37.54731,127.0666614,,205890.84325,549757.029675
63,성수2가3동주민센터,Y,서울특별시 성동구 광나루로2길 35,서울특별시 성동구 성수동2가 299-240,,896,12,누구나,공공시설,공공청사,37.5482283,127.055112,,204870.16721,549858.288948
64,제인병원스마트쉼터,N,서울특별시 성동구 광나루로 243  (송정동),서울특별시 성동구 송정동 81-14,,5.95,5,누구나,공공시설,스마트쉼터,37.5493345,127.056874,,205025.798325,549981.156574
65,군자교남단스마트쉼터,N,,서울특별시 성동구 송정동 97-41,,5.95,5,누구나,공공시설,스마트쉼터,37.5575127,127.0724282,,206399.580849,550889.784384
66,송정동현대아이파크아파트(송정동자치회관)스마트쉼터,Y,,서울특별시 성동구 송정동 1-129,,16.5,5,누구나,공공시설,스마트쉼터,37.5521862,127.0686784,,206068.689455,550298.357626
67,송정동건영아파트(송정동서울숲아이파크)스마트쉼터,Y,서울특별시 성동구 동일로 265  (송정동),서울특별시 성동구 송정동 90-7,,16.5,5,특정인,공공시설,스마트쉼터,37.5552907,127.0712024,,206291.458915,550643.086026
68,성동세무서(제인병원)스마트쉼터,Y,,서울특별시 성동구 송정동 66-30,,16.5,5,누구나,공공시설,스마트쉼터,37.5482734,127.064175,,205671.047991,549863.802586
69,송정동주민센터,Y,서울특별시 성동구  동일로43길  13   (송정동),서울특별시 성동구 송정동 72-31,,120,9,누구나,공공시설,공공청사,37.5545908,127.069546,,206145.156518,550565.295887
70,신답역스마트쉼터,N,,서울특별시 성동구 용답동 128,,5.95,5,누구나,공공시설,스마트쉼터,37.5701653,127.0476955,,204213.546367,552292.677921
71,용답동.로데오거리.답십리역스마트쉼터,Y,,서울특별시 성동구 용답동 68-2,,16.5,5,누구나,공공시설,스마트쉼터,37.5657198,127.0537519,,204748.866987,551799.568112
72,용답동주민센터,Y,서울특별시 성동구  용답중앙23길  20   (용답동),서울특별시 성동구 용답동 5-6,,239,12,누구나,공공시설,공공청사,37.5641757,127.055384,,204893.160587,551628.274843
